Organisation;#;Question;#;Answer
acatech – Deutsche Akademie der Technikwissenschaften;#;Bitte geben Sie Ihre Stellungnahme zur Relevanz der Blockchain-Technologie ein:;#;Die Relevanz ist gut dargestellt. Es sollte vielleicht noch etwas gesagt werden, wo klassische Anwendungsgebiete sind, die am ehesten das Potential haben durch die Blockchain-Strategie weiterzukommen.
acatech – Deutsche Akademie der Technikwissenschaften;#;Bitte geben Sie Ihre Stellungnahme zur Funktionsweise der Blockchain-Technologie ein:;#;Die Funktionsweise von Blockchain ist im Wesentlichen gut dargestellt. Mich stört nur der dritte Satz am Anfang, dass die Richtigkeit einer Information nicht über eine zentrale Instanz verifiziert werden muss, sondern mittels einer unter den Teilnehmern transparenten Konsensmenge bestätigt wird. Das stimmt natürlich nicht ganz. Durch den Konsensmechanismus wird nicht die Richtigkeit einer Information bestätigt, sondern durch diesen Mechanismus wird ein Einigungsverfahren geschaffen, das sicherstellt, dass letztendlich sich alle darauf verständigen, einen bestimmten neuen Block anzufügen. Wie stark dieser Block dann richtig ist, das ist eine ganz andere Frage.
acatech – Deutsche Akademie der Technikwissenschaften;#;Bitte geben Sie Ihre Stellungnahme zu den Anwendungsfeldern ein:;#;Ich denke, das ist viel zu knapp dargestellt. Man sollte wirklich deutlicher machen, welche Anwendungsfelder es gibt. Das ist in unserer acatech-Studie ganz gut gelungen, denke ich. Ein wirklich interessantes Anwendungsfeld ist die Dokumentation von Logistik-Ketten. Zu der Frage, ob Anwendungsfelder fehlen: Die sind schon relativ breit aufgestellt. Man sollte aber vielleicht immer noch etwas dazu sagen, in welchen Bereichen und Anwendungsfeldern Blockchain einzusetzen ist. Z. B. sind die Anwendungsfelder natürlich überlappend: Das Internet der Dinge ist ein generelles Gebiet, das natürlich auf Mobilität, Energie oder Lieferketten gleichermaßen zutrifft. Ich denke, man sollte die Anwendungsfelder noch ein bisschen klarer kategorisieren und strukturieren.
acatech – Deutsche Akademie der Technikwissenschaften;#;Bitte geben Sie Ihre Stellungnahme zu dem Themengebiet Kryptowährungen, Token und ICOs ein:;#;Man sollte deutlich machen, dass es nicht nur um Kryptowährungen in dem Fall. Es geht auch um abstrakte Beteiligungsmodelle, die es erlauben aufgrund der Tokens und der ICOs Firmenbeteiligungen beispielsweise zu schaffen, die einen Einsatz von klassischen Aktiengesellschaften ersetzen könnten.
acatech – Deutsche Akademie der Technikwissenschaften;#;Gibt es – außerhalb der Spekulation – nachhaltige Anwendungsmöglichkeiten für Kryptowährungen?;#;Siehe oben unter Beteiligungen.
acatech – Deutsche Akademie der Technikwissenschaften;#;Ist die Token-Emission eine zukunftsfähige Form der Unternehmens- und Projektfinanzierung bzw. unter welchen Rahmenbedingungen könnte sie sich dazu entwickeln?;#;Es geht hier nicht nur um Unternehmensfinanzierung, sondern auch um Beteiligungen. Z. B. könnte man verteilte Projekte so organisieren, dass durch die Projektbeiträge Tokens erworben werden.
acatech – Deutsche Akademie der Technikwissenschaften;#;Welcher Mehrwert und welche Hindernisse bestehen bei der Tokenisierung klassischer Wertpapiere?;#;Man kann ganz andere Beteiligungsmodelle haben, insbesondere Modelle der Mitarbeit.
acatech – Deutsche Akademie der Technikwissenschaften;#;Teilen Sie die Einschätzung, dass sich ICOs mit Utility-Token und Kryptowährungen primär zur Finanzierung dezentralisierter Blockchainprojekte eignen? Welche weiteren sinnvollen Finanzierungsbereiche sehen Sie?;#;Ich teile die Einschätzung nicht. Wie oben gesagt, denke ich, dass eine interessante Möglichkeit durch Utility-Token auf die Entlohnung der Beteiligung an Unternehmen in der Start-up Phase sein könnte.
acatech – Deutsche Akademie der Technikwissenschaften;#;Bitte geben Sie Ihre Stellungnahme zu dem Themengebiet Anwendung in der Finanzwirtschaft ein:;#;Tatsächlich könnten sich Token in bestimmten Bereichen als Ersatzwährungen durchsetzen, beispielsweise um Handelsökosysteme aufzubauen.
acatech – Deutsche Akademie der Technikwissenschaften;#;Bitte geben Sie Ihre Stellungnahme zu dem Themengebiet Energie, insbesondere Stromhandel, ein:;#;Insbesondere beim Stromhandel könnte Blockchain eine gewisse Rolle spielen. Das wäre vielleicht wichtig, wenn man den Stromhandel auch für Kleinanbieter öffnen möchte.
